Time Frame,Speed
09.49.08,033KM
09.48.44,022KMIH
09*4831,032KMIH
09.49.03,027KMIH
09.48.46,017 KMH
09.49.04,OBOKMIH
09*48.32,032KMIH
09*49.10,027KMIH
09.48.41,025KMIH
09*48.3C,032KMIH
09.48.58,022KMIH
09.49.12,024KMIH
09.48.29,032KMIH
09.48*25,030KMIH
09.4840,026KMH
09.4837,027 KMIH
09.48.53,025KMIH
09.4838,026KMIH
09*48.30,032KMIH
09.4838,026 KIH
09*49*10,O2ZKMIH
09.48.47,O18KMIH
09.49.08,033KMH
09*48.50,026KMIH
09.48*37,027 KIIIH
09*4833,031KMUH
09.48.55,025KMIH
09.4831,032KMIH
09*48.33,O31KRH
09.49.19,O2OKMIH
09*4834,030 KMIH
09*48.34,030 KMIH
09.49.16,023KMIH
09.49.02,026KMIH
